aishe_code,name,state,type,nirf_2026,is_qhei,pmvl_category,total_course_fee,avg_placement_lpa,roi_index
U-1061,Indian Institute of Technology 61,Karnataka,Central,61,True,AA,1079672,12.1,5.6
U-1062,Savitribai University 62,Telangana,Private,62,True,AA,578227,13.74,9.9
U-1063,Imperial Institute of Technology 63,Maharashtra,Deemed,63,True,AA,1027991,14.91,7.3
U-1064,Jawaharlal University 64,Telangana,Central,64,True,AA,1063118,13.59,6.4
U-1065,Savitribai Medical College 65,Uttar Pradesh,Private,65,True,AA,1174760,11.42,4.9
U-1066,Savitribai Medical College 66,Punjab,State,66,True,AA,1123284,10.23,4.6
U-1067,National Institute of Technology 67,Rajasthan,Private,67,True,AA,914951,9.28,5.1
U-1068,Ambedkar Medical College 68,Telangana,State,68,True,AA,1005578,9.17,4.6
U-1069,National College of Engineering 69,Tamil Nadu,Central,69,True,AA,1351349,14.54,5.4
U-1070,Imperial Management Institute 70,Telangana,Central,70,True,AA,1421851,12.68,4.5
U-1071,National Management Institute 71,Karnataka,Deemed,71,True,AA,1103029,14.41,6.5
U-1072,Imperial University 72,Delhi,Deemed,72,True,AA,1005754,8.23,4.1
U-1073,National Management Institute 73,Telangana,Central,73,True,AA,637475,12.98,9.9
U-1074,National Institute of Technology 74,West Bengal,Private,74,True,AA,972280,8.77,4.5
U-1075,Indian Medical College 75,Rajasthan,Deemed,75,True,AA,832975,12.65,7.6
U-1076,Imperial College of Engineering 76,Karnataka,State,76,True,AA,615052,10.26,8.3
U-1077,Imperial University 77,Punjab,Private,77,True,AA,681391,8.43,6.2
U-1078,Indian College of Engineering 78,Uttar Pradesh,Deemed,78,True,AA,507016,8.27,8.2
U-1079,National Medical College 79,Gujarat,Private,79,True,AA,1238033,13.17,5.3
U-1080,Indian Medical College 80,Maharashtra,Central,80,True,AA,730748,8.85,6.1
U-1081,Jawaharlal Management Institute 81,Tamil Nadu,Central,81,True,AA,1000475,14.99,7.5
U-1082,National Institute of Technology 82,Delhi,Deemed,82,True,AA,838171,9.47,5.7
U-1083,Jawaharlal Institute of Technology 83,Karnataka,State,83,True,AA,839966,9.88,5.9
U-1084,Jawaharlal Medical College 84,Tamil Nadu,Deemed,84,True,AA,1328076,9.21,3.5
U-1085,Imperial Medical College 85,Gujarat,Deemed,85,True,AA,1442508,9.81,3.4
U-1086,Jawaharlal Institute of Technology 86,Gujarat,Private,86,True,AA,1479374,13.34,4.5
U-1087,Indian Institute of Technology 87,West Bengal,Deemed,87,True,AA,1194954,11.48,4.8
U-1088,Ambedkar University 88,Rajasthan,Central,88,True,AA,1322852,14.84,5.6
U-1089,Global Management Institute 89,Telangana,Deemed,89,True,AA,872215,13.68,7.8
U-1090,Imperial Management Institute 90,Punjab,State,90,True,AA,765556,14.46,9.4
U-1091,Jawaharlal Institute of Technology 91,Telangana,State,91,True,AA,712159,11.59,8.1
U-1092,Indian College of Engineering 92,Uttar Pradesh,Deemed,92,True,AA,590786,14.46,9.9
U-1093,Ambedkar Medical College 93,Telangana,Deemed,93,True,AA,1195894,8.89,3.7
U-1094,Imperial Medical College 94,Telangana,Deemed,94,True,AA,1078137,11.73,5.4
U-1095,National Institute of Technology 95,Karnataka,Central,95,True,AA,1449455,12.69,4.4
U-1096,National College of Engineering 96,Uttar Pradesh,Private,96,True,AA,1077067,8.4,3.9
U-1097,Indian Management Institute 97,Delhi,Deemed,97,True,AA,786081,11.11,7.1
U-1098,Savitribai University 98,Punjab,Deemed,98,True,AA,1254729,10.36,4.1
U-1099,Savitribai Institute of Technology 99,West Bengal,Central,99,True,AA,1262085,8.61,3.4
U-1100,Ambedkar Management Institute 100,Punjab,Deemed,100,True,AA,1292041,12.81,5.0
U-1101,Indian Institute of Technology 101,Rajasthan,Central,101,True,AA,974638,14.0,7.2
U-1102,Imperial University 102,Maharashtra,Central,102,True,AA,656125,11.74,8.9
U-1103,National College of Engineering 103,Gujarat,Deemed,103,False,AA,1498202,8.53,2.8
U-1104,Indian Institute of Technology 104,Uttar Pradesh,Central,104,True,AA,715848,11.71,8.2
U-1105,Imperial Medical College 105,West Bengal,Deemed,105,False,AA,530065,12.67,9.9
U-1106,National College of Engineering 106,Punjab,Private,106,False,AA,721799,10.61,7.4
U-1107,Imperial Medical College 107,Maharashtra,Deemed,107,False,AA,753968,12.49,8.3
U-1108,Imperial University 108,Telangana,Central,108,True,AA,703039,13.45,9.6
U-1109,Indian University 109,Uttar Pradesh,Deemed,109,False,AA,1372205,8.72,3.2
U-1110,Savitribai Medical College 110,Delhi,State,110,True,AA,1208135,8.48,3.5
U-1111,Imperial Management Institute 111,West Bengal,State,111,True,AA,902338,12.17,6.7
U-1112,National College of Engineering 112,Karnataka,Central,112,True,AA,693407,10.54,7.6
U-1113,Indian College of Engineering 113,Delhi,Central,113,True,AA,869332,11.37,6.5
U-1114,Global Medical College 114,Gujarat,Private,114,False,AA,1327569,11.64,4.4
U-1115,National University 115,Rajasthan,Private,115,False,AA,672642,12.62,9.4
U-1116,Global Management Institute 116,Punjab,Private,116,False,AA,504285,14.31,9.9
U-1117,Jawaharlal University 117,West Bengal,Deemed,117,False,AA,1125784,14.27,6.3
U-1118,Imperial Medical College 118,West Bengal,Deemed,118,False,AA,517575,9.18,8.9
U-1119,Imperial Management Institute 119,West Bengal,Deemed,119,False,AA,1414861,13.4,4.7
U-1120,Savitribai Management Institute 120,Maharashtra,Central,120,True,AA,1077275,8.8,4.1
U-1121,Global Institute of Technology 121,Karnataka,Private,121,False,AA,1264486,13.85,5.5
U-1122,National Management Institute 122,Telangana,Private,122,False,AA,1329257,9.91,3.7
U-1123,Ambedkar Medical College 123,Delhi,Private,123,False,AA,979572,11.08,5.7
U-1124,Jawaharlal Institute of Technology 124,Karnataka,Private,124,False,AA,1434290,12.43,4.3
U-1125,Ambedkar Management Institute 125,Maharashtra,Deemed,125,False,AA,835179,9.89,5.9
U-1126,Savitribai University 126,Punjab,State,126,True,AA,1120000,12.9,5.8
U-1127,Savitribai Management Institute 127,Gujarat,Deemed,127,False,AA,763028,14.26,9.3
U-1128,Savitribai Management Institute 128,Gujarat,Central,128,True,AA,641495,13.65,9.9
U-1129,Savitribai Institute of Technology 129,Uttar Pradesh,Deemed,129,False,AA,770113,9.91,6.4
U-1130,Savitribai Management Institute 130,Karnataka,Private,130,False,AA,960574,9.7,5.1
U-1131,National Management Institute 131,Uttar Pradesh,Deemed,131,False,AA,1322340,9.74,3.7
U-1132,Global Medical College 132,Delhi,Private,132,False,AA,748225,13.93,9.3
U-1133,Ambedkar College of Engineering 133,West Bengal,Private,133,False,AA,1137128,12.58,5.5
U-1134,National Management Institute 134,Tamil Nadu,Deemed,134,False,AA,890738,13.72,7.7
U-1135,Global Institute of Technology 135,Gujarat,Deemed,135,False,AA,636616,10.74,8.4
U-1136,Imperial University 136,Rajasthan,Central,136,True,AA,537786,13.71,9.9
U-1137,Ambedkar University 137,Gujarat,Deemed,137,False,AA,1366436,11.54,4.2
U-1138,National College of Engineering 138,Delhi,Central,138,True,AA,512787,9.9,9.7
U-1139,Ambedkar Management Institute 139,Karnataka,Central,139,True,AA,1328274,11.5,4.3
U-1140,Global Medical College 140,Maharashtra,Private,140,False,AA,585736,11.92,9.9
U-1141,Savitribai Institute of Technology 141,Delhi,Deemed,141,False,AA,1226304,11.82,4.8
U-1142,Jawaharlal College of Engineering 142,Rajasthan,Central,142,True,AA,1261127,12.93,5.1
U-1143,Ambedkar Medical College 143,Tamil Nadu,State,143,True,AA,1372205,12.54,4.6
U-1144,Indian Medical College 144,Punjab,Deemed,144,False,AA,1096585,10.2,4.6
U-1145,Global Management Institute 145,Rajasthan,Deemed,145,False,AA,1034335,14.17,6.9
U-1146,Global Management Institute 146,Gujarat,Private,146,False,AA,754373,8.67,5.7
U-1147,Global Institute of Technology 147,West Bengal,Central,147,True,AA,945772,10.13,5.4
U-1148,Imperial University 148,Gujarat,Private,148,False,AA,1218795,10.08,4.1
U-1149,Global Management Institute 149,Rajasthan,Private,149,False,AA,1084491,13.57,6.3
U-1150,Ambedkar University 150,Gujarat,State,150,True,AA,635150,11.77,9.3
U-1151,National College of Engineering 151,Maharashtra,State,151,True,A,673070,5.87,4.4
U-1152,National College of Engineering 152,Delhi,Private,152,False,A,133158,7.63,9.9
U-1153,Savitribai Medical College 153,Karnataka,Central,153,True,A,245650,8.91,9.9
U-1154,Savitribai University 154,West Bengal,Private,154,False,A,315481,8.78,9.9
U-1155,Ambedkar Medical College 155,Tamil Nadu,Private,155,False,A,593043,5.29,4.5
U-1156,National College of Engineering 156,Karnataka,Private,156,False,A,154867,6.47,9.9
U-1157,Savitribai University 157,Punjab,Private,157,False,A,695832,4.64,3.3
U-1158,Savitribai University 158,Rajasthan,Central,158,True,A,719850,8.45,5.9
U-1159,Indian Management Institute 159,Gujarat,Deemed,159,False,A,156560,9.12,9.9
U-1160,Indian Institute of Technology 160,Delhi,Deemed,160,False,A,316217,4.66,7.4
U-1161,National University 161,Uttar Pradesh,Deemed,161,False,A,642666,6.53,5.1
U-1162,Jawaharlal Medical College 162,Telangana,State,162,True,A,493101,8.23,8.3
U-1163,National College of Engineering 163,Uttar Pradesh,Deemed,163,False,A,597126,6.46,5.4
U-1164,Indian Institute of Technology 164,Punjab,State,164,True,A,724975,4.67,3.2
U-1165,Indian Management Institute 165,Punjab,Private,165,False,A,665039,8.68,6.5
U-1166,Jawaharlal Management Institute 166,Gujarat,Central,166,True,A,442975,8.14,9.2
U-1167,Indian Institute of Technology 167,Telangana,Deemed,167,False,A,624057,5.82,4.7
U-1168,Jawaharlal Institute of Technology 168,West Bengal,Deemed,168,False,A,780637,7.62,4.9
U-1169,Jawaharlal Institute of Technology 169,Tamil Nadu,Deemed,169,False,A,632074,4.5,3.6
U-1170,Savitribai Management Institute 170,Punjab,Deemed,170,False,A,585766,8.15,7.0
U-1171,Indian Institute of Technology 171,Telangana,State,171,True,A,699778,5.79,4.1
U-1172,Jawaharlal College of Engineering 172,Karnataka,Deemed,172,False,A,443536,7.73,8.7
U-1173,Ambedkar Medical College 173,Tamil Nadu,Central,173,True,A,146782,6.35,9.9
U-1174,Savitribai University 174,Rajasthan,Deemed,174,False,A,235435,6.89,9.9
U-1175,National Medical College 175,Delhi,Private,175,False,A,583190,5.34,4.6
U-1176,Jawaharlal University 176,Telangana,State,176,True,A,552369,5.75,5.2
U-1177,Ambedkar University 177,Punjab,Deemed,177,False,A,143509,6.27,9.9
U-1178,National College of Engineering 178,Delhi,Deemed,178,False,A,441861,7.4,8.4
U-1179,Savitribai Medical College 179,Telangana,State,179,True,A,462681,9.39,9.9
U-1180,Ambedkar Medical College 180,Uttar Pradesh,Central,180,True,A,476446,7.39,7.8
U-1181,Imperial Management Institute 181,Telangana,Private,181,False,A,485159,8.59,8.8
U-1182,Global University 182,Punjab,Private,182,False,A,313053,9.93,9.9
U-1183,Indian University 183,Karnataka,Central,183,True,A,181293,6.31,9.9
U-1184,Jawaharlal Management Institute 184,Gujarat,State,184,True,A,406544,4.94,6.1
U-1185,National Institute of Technology 185,Telangana,Central,185,True,A,569298,5.77,5.1
U-1186,Global Medical College 186,Punjab,State,186,True,A,371312,5.11,6.9
U-1187,Savitribai Management Institute 187,Tamil Nadu,State,187,True,A,543451,8.36,7.7
U-1188,Savitribai College of Engineering 188,Delhi,Central,188,True,A,692129,8.44,6.1
U-1189,Global College of Engineering 189,Delhi,Central,189,True,A,799256,4.41,2.8
U-1190,Indian Medical College 190,Gujarat,State,190,True,A,348643,6.83,9.8
U-1191,Imperial University 191,Rajasthan,State,191,True,A,660853,7.86,5.9
U-1192,Savitribai College of Engineering 192,Delhi,Private,192,False,A,166924,6.88,9.9
U-1193,Imperial Management Institute 193,West Bengal,Deemed,193,False,A,532393,4.3,4.0
U-1194,National Management Institute 194,Punjab,Deemed,194,False,A,782088,5.15,3.3
U-1195,Ambedkar University 195,Punjab,Central,195,True,A,775967,8.94,5.8
U-1196,Global Institute of Technology 196,Delhi,State,196,True,A,400363,9.73,9.9
U-1197,Imperial College of Engineering 197,Gujarat,Central,197,True,A,591065,6.6,5.6
U-1198,Imperial College of Engineering 198,Telangana,State,198,True,A,677102,6.1,4.5
U-1199,National College of Engineering 199,Maharashtra,Central,199,True,A,474640,6.03,6.4
U-1200,Savitribai Medical College 200,Rajasthan,Central,200,True,A,683796,5.39,3.9
U-1201,Jawaharlal Management Institute 201,Uttar Pradesh,State,201,False,A,201394,6.39,9.9
U-1202,Ambedkar Institute of Technology 202,Delhi,Deemed,202,False,A,324318,7.85,9.9
U-1203,National Management Institute 203,Punjab,State,203,False,A,613518,5.86,4.8
U-1204,Global Medical College 204,Rajasthan,State,204,False,A,242802,6.18,9.9
U-1205,National College of Engineering 205,Gujarat,State,205,False,A,508255,6.94,6.8
U-1206,Imperial College of Engineering 206,Karnataka,Central,206,True,A,126790,7.14,9.9
U-1207,National College of Engineering 207,Punjab,State,207,False,A,168163,6.53,9.9
U-1208,National Medical College 208,Gujarat,Deemed,208,False,A,684143,4.19,3.1
U-1209,National Management Institute 209,Rajasthan,State,209,False,A,755470,5.53,3.7
U-1210,Global Medical College 210,Telangana,State,210,False,A,163430,6.03,9.9
U-1211,National Medical College 211,West Bengal,Deemed,211,False,A,345450,6.29,9.1
U-1212,Jawaharlal Management Institute 212,Uttar Pradesh,State,212,False,A,727135,4.3,3.0
U-1213,Jawaharlal College of Engineering 213,Karnataka,State,213,False,A,670675,6.38,4.8
U-1214,Global Institute of Technology 214,Karnataka,Central,214,True,A,295805,9.3,9.9
U-1215,Savitribai Institute of Technology 215,Gujarat,State,215,False,A,198628,9.94,9.9
U-1216,Savitribai Medical College 216,Punjab,Central,216,True,A,660757,7.89,6.0
U-1217,Imperial University 217,Uttar Pradesh,State,217,False,A,485816,6.78,7.0
U-1218,Jawaharlal Medical College 218,Karnataka,Central,218,True,A,451195,7.8,8.6
U-1219,Imperial Management Institute 219,Rajasthan,Deemed,219,False,A,769520,9.39,6.1
U-1220,Savitribai Management Institute 220,Punjab,Private,220,False,A,738195,7.66,5.2
U-1221,Jawaharlal College of Engineering 221,Punjab,State,221,False,A,490839,8.52,8.7
U-1222,National Institute of Technology 222,Maharashtra,Deemed,222,False,A,438326,8.17,9.3
U-1223,Jawaharlal Management Institute 223,Karnataka,Deemed,223,False,A,156509,8.47,9.9
U-1224,Imperial University 224,Uttar Pradesh,State,224,False,A,166642,7.11,9.9
U-1225,National University 225,Telangana,Deemed,225,False,A,424527,8.47,9.9
U-1226,Imperial Management Institute 226,Karnataka,State,226,False,A,399530,5.4,6.8
U-1227,Jawaharlal Medical College 227,Punjab,Private,227,False,A,280495,8.21,9.9
U-1228,Ambedkar Management Institute 228,West Bengal,Central,228,True,A,470572,4.66,5.0
U-1229,Global Medical College 229,Gujarat,State,229,False,A,486614,4.19,4.3
U-1230,Savitribai University 230,Rajasthan,Central,230,True,A,265326,7.9,9.9
U-1231,Jawaharlal College of Engineering 231,Rajasthan,Private,231,False,A,544013,9.44,8.7
U-1232,Indian College of Engineering 232,Punjab,Deemed,232,False,A,279528,6.47,9.9
U-1233,National College of Engineering 233,Maharashtra,Deemed,233,False,A,747846,6.5,4.3
U-1234,Ambedkar Institute of Technology 234,Delhi,Deemed,234,False,A,374842,4.09,5.5
U-1235,Ambedkar College of Engineering 235,Karnataka,Deemed,235,False,A,565907,7.67,6.8
U-1236,Ambedkar College of Engineering 236,Karnataka,Deemed,236,False,A,744332,6.96,4.7
U-1237,Imperial University 237,Uttar Pradesh,Central,237,True,A,774995,5.94,3.8
U-1238,Indian University 238,Rajasthan,Central,238,True,A,419370,6.2,7.4
U-1239,National Medical College 239,Tamil Nadu,Central,239,True,A,350121,6.29,9.0
U-1240,National Medical College 240,Tamil Nadu,Deemed,240,False,A,546602,6.32,5.8
U-1241,Indian College of Engineering 241,Uttar Pradesh,Deemed,241,False,A,686146,8.78,6.4
U-1242,Imperial College of Engineering 242,Rajasthan,Deemed,242,False,A,664192,5.06,3.8
U-1243,Indian Medical College 243,Tamil Nadu,Central,243,True,A,261696,6.56,9.9
U-1244,Global Management Institute 244,Punjab,Private,244,False,A,784635,7.88,5.0
U-1245,Jawaharlal University 245,Gujarat,State,245,False,A,374936,5.46,7.3
U-1246,Global College of Engineering 246,Punjab,Central,246,True,A,144564,4.97,9.9
U-1247,National University 247,Telangana,Private,247,False,A,277348,6.23,9.9
U-1248,Savitribai Management Institute 248,Gujarat,Private,248,False,A,704106,8.48,6.0
U-1249,Indian College of Engineering 249,Karnataka,Deemed,249,False,A,725080,4.87,3.4
U-1250,National Management Institute 250,Delhi,State,250,False,A,495385,9.26,9.3
U-1251,Imperial College of Engineering 251,Gujarat,State,251,False,A,142865,4.73,9.9
U-1252,Imperial Management Institute 252,West Bengal,Central,252,True,A,479468,9.68,9.9
U-1253,Global Medical College 253,West Bengal,Private,253,False,A,498284,9.08,9.1
U-1254,Global College of Engineering 254,Karnataka,Private,254,False,A,647728,9.77,7.5
U-1255,Ambedkar University 255,Rajasthan,Deemed,255,False,A,475460,6.45,6.8
U-1256,Jawaharlal Medical College 256,Telangana,Deemed,256,False,A,270444,4.02,7.4
U-1257,Imperial Management Institute 257,Karnataka,Deemed,257,False,A,180214,4.29,9.9
U-1258,Savitribai Medical College 258,Delhi,State,258,False,A,744893,6.37,4.3
U-1259,Jawaharlal Medical College 259,Karnataka,Private,259,False,A,192045,6.35,9.9
U-1260,Global Management Institute 260,West Bengal,Central,260,True,A,175190,6.85,9.9
U-1261,Imperial Management Institute 261,West Bengal,Deemed,261,False,A,493523,9.24,9.4
U-1262,Savitribai College of Engineering 262,Rajasthan,Central,262,True,A,124687,5.82,9.9
U-1263,Savitribai University 263,West Bengal,Private,263,False,A,767673,9.29,6.1
U-1264,Indian Institute of Technology 264,Delhi,Private,264,False,A,147589,6.58,9.9
U-1265,Jawaharlal Management Institute 265,Delhi,Private,265,False,A,120930,8.11,9.9
U-1266,National University 266,Tamil Nadu,State,266,False,A,505226,8.39,8.3
U-1267,Ambedkar University 267,Uttar Pradesh,Central,267,True,A,151667,5.9,9.9
U-1268,Imperial College of Engineering 268,Rajasthan,State,268,False,A,729553,5.82,4.0
U-1269,Indian College of Engineering 269,Tamil Nadu,Central,269,True,A,132765,7.83,9.9
U-1270,Imperial Institute of Technology 270,Maharashtra,Central,270,True,A,465056,6.21,6.7
U-1271,Jawaharlal University 271,Rajasthan,Central,271,True,A,711676,4.95,3.5
U-1272,Global Institute of Technology 272,Uttar Pradesh,Private,272,False,A,690258,6.25,4.5
U-1273,Imperial University 273,Telangana,Central,273,True,A,301851,5.54,9.2
U-1274,Imperial Institute of Technology 274,Rajasthan,Deemed,274,False,A,287118,4.57,8.0
U-1275,Jawaharlal University 275,Maharashtra,State,275,False,A,657185,9.74,7.4
U-1276,Global Medical College 276,Uttar Pradesh,State,276,False,A,295349,8.74,9.9
U-1277,Indian College of Engineering 277,Gujarat,State,277,False,A,252249,8.19,9.9
U-1278,Savitribai Medical College 278,Delhi,Central,278,True,A,761867,4.25,2.8
U-1279,Jawaharlal Management Institute 279,Telangana,Central,279,True,A,208648,9.98,9.9
U-1280,Savitribai College of Engineering 280,Tamil Nadu,Deemed,280,False,A,665283,5.16,3.9
U-1281,Indian University 281,Telangana,State,281,False,A,322295,8.11,9.9
U-1282,Global Management Institute 282,Karnataka,Private,282,False,A,694943,5.42,3.9
U-1283,Imperial Medical College 283,West Bengal,Deemed,283,False,A,710115,6.47,4.6
U-1284,Jawaharlal Medical College 284,Gujarat,Private,284,False,A,234561,9.51,9.9
U-1285,Jawaharlal College of Engineering 285,Telangana,Central,285,True,A,224173,7.21,9.9
U-1286,National University 286,Tamil Nadu,State,286,False,A,545315,5.41,5.0
U-1287,Ambedkar Medical College 287,Punjab,State,287,False,A,327045,8.84,9.9
U-1288,National University 288,Tamil Nadu,Deemed,288,False,A,457765,5.13,5.6
U-1289,Global Institute of Technology 289,Punjab,Central,289,True,A,151977,8.11,9.9
U-1290,Jawaharlal University 290,West Bengal,State,290,False,A,187582,6.12,9.9
U-1291,Indian Management Institute 291,Maharashtra,Central,291,True,A,497323,9.26,9.3
U-1292,Ambedkar Medical College 292,Karnataka,Central,292,True,A,577177,6.7,5.8
U-1293,Global Institute of Technology 293,Uttar Pradesh,State,293,False,A,609062,4.78,3.9
U-1294,Imperial University 294,Tamil Nadu,Private,294,False,A,237245,5.36,9.9
U-1295,Global University 295,West Bengal,State,295,False,A,400512,8.66,9.9
U-1296,Indian University 296,Karnataka,Deemed,296,False,A,537822,6.51,6.1
U-1297,National Management Institute 297,Gujarat,Deemed,297,False,A,573189,5.47,4.8
U-1298,Ambedkar University 298,Maharashtra,Private,298,False,A,694175,6.47,4.7
U-1299,Jawaharlal Management Institute 299,Uttar Pradesh,Central,299,True,A,261744,8.96,9.9
U-1300,Global Medical College 300,Tamil Nadu,Deemed,300,False,A,381893,7.81,9.9
U-1301,Indian Medical College 301,Tamil Nadu,Deemed,301,False,A,325079,5.88,9.0
U-1302,Indian Institute of Technology 302,Rajasthan,Central,302,True,A,546246,6.73,6.2
U-1303,Jawaharlal College of Engineering 303,Uttar Pradesh,Private,303,False,A,311060,4.14,6.7
U-1304,Indian Medical College 304,Telangana,Central,304,True,A,125571,4.11,9.9
U-1305,Indian Institute of Technology 305,Karnataka,Private,305,False,A,438229,6.36,7.3
U-1306,Jawaharlal Management Institute 306,Delhi,Deemed,306,False,A,743045,6.17,4.2
U-1307,Global Institute of Technology 307,Telangana,Deemed,307,False,A,622575,5.45,4.4
U-1308,Savitribai Institute of Technology 308,Tamil Nadu,State,308,False,A,741417,4.64,3.1
U-1309,National Management Institute 309,Telangana,Private,309,False,A,594059,7.79,6.6
U-1310,Indian Institute of Technology 310,Karnataka,Central,310,True,A,150132,4.16,9.9
U-1311,Savitribai Medical College 311,Tamil Nadu,Deemed,311,False,A,544620,5.12,4.7
U-1312,Savitribai Management Institute 312,Maharashtra,State,312,False,A,655603,7.63,5.8
U-1313,Indian Medical College 313,Karnataka,Central,313,True,A,251575,7.04,9.9
U-1314,Imperial Institute of Technology 314,Punjab,Central,314,True,A,343325,4.37,6.4
